eval_loop,video_name,AverageScore,mos_1_to_5,inference_time,passes_per_vid
2,basketball_1080p_002_base_QP_45_G1_QP_25_G2_QP_45_res_1920x1080.mp4,66.1875,3.6338,1.337,1
2,football_1080p_002_base_QP_40_G1_QP_20_G2_QP_40_res_960x540.mp4,71.6875,3.8561,0.7391,1
2,football_1080p_002_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,54.7812,3.173,0.7366,1
2,football_1080p_002_base_QP_40_G1_QP_40_G2_QP_20_res_1920x1080.mp4,77.9375,4.1086,1.3434,1
2,football_1080p_002_base_QP_45_G1_QP_30_res_1920x1080.mp4,40.5938,2.5997,1.3225,1
2,football_1080p_009_base_QP_30_G1_QP_30_G2_QP_10_res_1920x1080.mp4,81.8125,4.2652,1.9754,1
2,football_1080p_009_base_QP_40_G1_QP_30_G2_QP_40_res_1920x1080.mp4,42.4375,2.6742,1.3069,1
2,football_1080p_009_base_QP_45_G1_QP_25_G2_QP_45_res_1920x1080.mp4,33.0625,2.2955,1.3117,1
2,football_1080p_009_base_QP_45_G1_QP_45_G2_QP_35_res_1920x1080.mp4,58.5312,3.3245,1.3452,1
2,scoccer_2160p_001_base_QP_40_G1_QP_40_G2_QP_40_res_960x540.mp4,20.9688,1.8068,0.7548,1
2,scoccer_2160p_003_base_QP_35_G1_QP_15_G2_QP_35_res_1920x1080.mp4,70.25,3.798,1.6709,1
2,scoccer_2160p_003_base_QP_45_G1_QP_30_res_1920x1080.mp4,27.125,2.0556,1.3701,1
3,basketball_1080p_001_base_QP_20_G1_QP_10_G2_QP_20_res_1920x1080.mp4,79.5,4.1717,1.4847,1
3,basketball_1080p_001_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,60.0312,3.3851,0.7396,1
3,basketball_1080p_001_base_QP_40_G1_QP_40_G2_QP_40_res_960x540.mp4,19.3906,1.7431,0.7352,1
3,basketball_1080p_002_base_QP_35_G1_QP_35_G2_QP_35_res_1920x1080.mp4,63.875,3.5404,1.34,1
3,basketball_1080p_002_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,50.3438,2.9937,0.7396,1
3,basketball_1080p_002_base_QP_45_G1_QP_45_G2_QP_25_res_1920x1080.mp4,75.0625,3.9924,1.3467,1
3,football_1080p_009_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,54.75,3.1717,0.7303,1
3,football_1080p_009_base_QP_40_G1_QP_20_G2_QP_40_res_1920x1080.mp4,43.8438,2.7311,1.3054,1
3,football_1080p_009_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,27.25,2.0606,0.7325,1
3,scoccer_2160p_001_base_QP_20_G1_QP_0_G2_QP_20_res_960x540.mp4,76.0,4.0303,1.0122,1
3,scoccer_2160p_001_base_QP_25_G1_QP_5_G2_QP_25_res_1920x1080.mp4,84.4375,4.3712,1.4653,1
3,scoccer_2160p_003_base_QP_25_G1_QP_25_G2_QP_5_res_1920x1080.mp4,86.625,4.4596,4.056,1
3,scoccer_2160p_003_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,62.8438,3.4987,0.8825,1
3,scoccer_2160p_003_base_QP_35_G1_QP_35_G2_QP_15_res_1920x1080.mp4,86.1875,4.4419,2.6533,1
3,scoccer_2160p_003_base_QP_45_G1_QP_35_G2_QP_45_res_1920x1080.mp4,26.9219,2.0473,1.3574,1
3,basketball_1080p_001_base_QP_30_G1_QP_20_G2_QP_30_res_960x540.mp4,61.1875,3.4318,0.7419,1
3,basketball_1080p_001_base_QP_35_G1_QP_15_G2_QP_35_res_1920x1080.mp4,78.875,4.1465,1.3253,1
3,basketball_1080p_001_base_QP_45_G1_QP_30_res_1920x1080.mp4,37.9062,2.4912,1.3074,1
3,basketball_1080p_002_base_QP_30_G1_QP_20_G2_QP_30_res_960x540.mp4,72.375,3.8838,0.754,1
3,basketball_1080p_002_base_QP_45_G1_QP_25_G2_QP_45_res_1920x1080.mp4,67.75,3.697,1.3603,1
3,football_1080p_002_base_QP_40_G1_QP_20_G2_QP_40_res_960x540.mp4,72.25,3.8788,0.7328,1
3,football_1080p_002_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,57.0,3.2626,0.7458,1
3,football_1080p_002_base_QP_40_G1_QP_40_G2_QP_20_res_1920x1080.mp4,77.75,4.101,1.3822,1
3,football_1080p_002_base_QP_45_G1_QP_30_res_1920x1080.mp4,41.9062,2.6528,1.3194,1
3,football_1080p_009_base_QP_30_G1_QP_30_G2_QP_10_res_1920x1080.mp4,82.1875,4.2803,1.9695,1
3,football_1080p_009_base_QP_40_G1_QP_30_G2_QP_40_res_1920x1080.mp4,40.1562,2.5821,1.2911,1
3,football_1080p_009_base_QP_45_G1_QP_25_G2_QP_45_res_1920x1080.mp4,30.25,2.1818,1.2961,1
3,football_1080p_009_base_QP_45_G1_QP_45_G2_QP_35_res_1920x1080.mp4,52.0312,3.0619,1.2978,1
3,scoccer_2160p_001_base_QP_40_G1_QP_40_G2_QP_40_res_960x540.mp4,23.2812,1.9003,0.7562,1
3,scoccer_2160p_003_base_QP_35_G1_QP_15_G2_QP_35_res_1920x1080.mp4,75.1875,3.9975,1.6638,1
3,scoccer_2160p_003_base_QP_45_G1_QP_30_res_1920x1080.mp4,25.9844,2.0095,1.3602,1
4,basketball_1080p_001_base_QP_20_G1_QP_10_G2_QP_20_res_1920x1080.mp4,74.5,3.9697,1.4765,1
4,basketball_1080p_001_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,56.5312,3.2437,0.7386,1
4,basketball_1080p_001_base_QP_40_G1_QP_40_G2_QP_40_res_960x540.mp4,19.0312,1.7285,0.7286,1
4,basketball_1080p_002_base_QP_35_G1_QP_35_G2_QP_35_res_1920x1080.mp4,65.125,3.5909,1.3308,1
4,basketball_1080p_002_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,46.1562,2.8245,0.7391,1
4,basketball_1080p_002_base_QP_45_G1_QP_45_G2_QP_25_res_1920x1080.mp4,74.625,3.9747,1.3443,1
4,football_1080p_009_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,53.9688,3.1402,0.7323,1
4,football_1080p_009_base_QP_40_G1_QP_20_G2_QP_40_res_1920x1080.mp4,42.625,2.6818,1.3006,1
4,football_1080p_009_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,25.8125,2.0025,0.7299,1
4,scoccer_2160p_001_base_QP_20_G1_QP_0_G2_QP_20_res_960x540.mp4,75.75,4.0202,1.0078,1
4,scoccer_2160p_001_base_QP_25_G1_QP_5_G2_QP_25_res_1920x1080.mp4,84.5,4.3737,1.4746,1
4,scoccer_2160p_003_base_QP_25_G1_QP_25_G2_QP_5_res_1920x1080.mp4,84.625,4.3788,4.0617,1
4,scoccer_2160p_003_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,64.25,3.5556,0.889,1
4,scoccer_2160p_003_base_QP_35_G1_QP_35_G2_QP_15_res_1920x1080.mp4,85.125,4.399,2.6471,1
4,scoccer_2160p_003_base_QP_45_G1_QP_35_G2_QP_45_res_1920x1080.mp4,29.8906,2.1673,1.3734,1
4,basketball_1080p_001_base_QP_30_G1_QP_20_G2_QP_30_res_960x540.mp4,62.1875,3.4722,0.7372,1
4,basketball_1080p_001_base_QP_35_G1_QP_15_G2_QP_35_res_1920x1080.mp4,75.0625,3.9924,1.3466,1
4,basketball_1080p_001_base_QP_45_G1_QP_30_res_1920x1080.mp4,36.7188,2.4432,1.3101,1
4,basketball_1080p_002_base_QP_30_G1_QP_20_G2_QP_30_res_960x540.mp4,71.8125,3.8611,0.7565,1
4,basketball_1080p_002_base_QP_45_G1_QP_25_G2_QP_45_res_1920x1080.mp4,67.1875,3.6742,1.3363,1
4,football_1080p_002_base_QP_40_G1_QP_20_G2_QP_40_res_960x540.mp4,69.0,3.7475,0.7322,1
4,football_1080p_002_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,54.5938,3.1654,0.7342,1
4,football_1080p_002_base_QP_40_G1_QP_40_G2_QP_20_res_1920x1080.mp4,78.75,4.1414,1.3537,1
4,football_1080p_002_base_QP_45_G1_QP_30_res_1920x1080.mp4,40.75,2.6061,1.3194,1
4,football_1080p_009_base_QP_30_G1_QP_30_G2_QP_10_res_1920x1080.mp4,82.1875,4.2803,1.9604,1
4,football_1080p_009_base_QP_40_G1_QP_30_G2_QP_40_res_1920x1080.mp4,38.4375,2.5126,1.2946,1
4,football_1080p_009_base_QP_45_G1_QP_25_G2_QP_45_res_1920x1080.mp4,32.3438,2.2664,1.2953,1
4,football_1080p_009_base_QP_45_G1_QP_45_G2_QP_35_res_1920x1080.mp4,55.2188,3.1907,1.2899,1
4,scoccer_2160p_001_base_QP_40_G1_QP_40_G2_QP_40_res_960x540.mp4,22.1562,1.8548,0.7557,1
4,scoccer_2160p_003_base_QP_35_G1_QP_15_G2_QP_35_res_1920x1080.mp4,69.0625,3.75,1.6637,1
4,scoccer_2160p_003_base_QP_45_G1_QP_30_res_1920x1080.mp4,24.9062,1.9659,1.3556,1
5,basketball_1080p_001_base_QP_20_G1_QP_10_G2_QP_20_res_1920x1080.mp4,83.875,4.3485,1.4739,1
5,basketball_1080p_001_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,58.7188,3.3321,0.7309,1
5,basketball_1080p_001_base_QP_40_G1_QP_40_G2_QP_40_res_960x540.mp4,18.8906,1.7229,0.7298,1
5,basketball_1080p_002_base_QP_35_G1_QP_35_G2_QP_35_res_1920x1080.mp4,60.6875,3.4116,1.3388,1
5,basketball_1080p_002_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,48.4688,2.9179,0.7377,1
5,basketball_1080p_002_base_QP_45_G1_QP_45_G2_QP_25_res_1920x1080.mp4,73.25,3.9192,1.3489,1
5,football_1080p_009_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,54.4062,3.1578,0.7279,1
5,football_1080p_009_base_QP_40_G1_QP_20_G2_QP_40_res_1920x1080.mp4,44.125,2.7424,1.3312,1
5,football_1080p_009_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,26.2969,2.0221,0.733,1
5,scoccer_2160p_001_base_QP_20_G1_QP_0_G2_QP_20_res_960x540.mp4,80.5,4.2121,1.0086,1
5,scoccer_2160p_001_base_QP_25_G1_QP_5_G2_QP_25_res_1920x1080.mp4,84.25,4.3636,1.4996,1
5,scoccer_2160p_003_base_QP_25_G1_QP_25_G2_QP_5_res_1920x1080.mp4,87.75,4.5051,4.0529,1
5,scoccer_2160p_003_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,59.1875,3.351,0.8797,1
5,scoccer_2160p_003_base_QP_35_G1_QP_35_G2_QP_15_res_1920x1080.mp4,84.1875,4.3611,2.6551,1
5,scoccer_2160p_003_base_QP_45_G1_QP_35_G2_QP_45_res_1920x1080.mp4,35.5938,2.3977,1.3642,1
5,basketball_1080p_001_base_QP_30_G1_QP_20_G2_QP_30_res_960x540.mp4,62.75,3.4949,0.7391,1
5,basketball_1080p_001_base_QP_35_G1_QP_15_G2_QP_35_res_1920x1080.mp4,73.4375,3.9268,1.327,1
5,basketball_1080p_001_base_QP_45_G1_QP_30_res_1920x1080.mp4,36.375,2.4293,1.3162,1
5,basketball_1080p_002_base_QP_30_G1_QP_20_G2_QP_30_res_960x540.mp4,73.0,3.9091,0.7565,1
5,basketball_1080p_002_base_QP_45_G1_QP_25_G2_QP_45_res_1920x1080.mp4,66.375,3.6414,1.3492,1
5,football_1080p_002_base_QP_40_G1_QP_20_G2_QP_40_res_960x540.mp4,70.3125,3.8005,0.7355,1
5,football_1080p_002_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,56.1562,3.2285,0.7371,1
5,football_1080p_002_base_QP_40_G1_QP_40_G2_QP_20_res_1920x1080.mp4,77.9375,4.1086,1.344,1
5,football_1080p_002_base_QP_45_G1_QP_30_res_1920x1080.mp4,40.4062,2.5922,1.3291,1
5,football_1080p_009_base_QP_30_G1_QP_30_G2_QP_10_res_1920x1080.mp4,82.5625,4.2955,1.9662,1
5,football_1080p_009_base_QP_40_G1_QP_30_G2_QP_40_res_1920x1080.mp4,40.8125,2.6086,1.298,1
5,football_1080p_009_base_QP_45_G1_QP_25_G2_QP_45_res_1920x1080.mp4,31.7031,2.2405,1.3031,1
5,football_1080p_009_base_QP_45_G1_QP_45_G2_QP_35_res_1920x1080.mp4,55.0312,3.1831,1.2956,1
5,scoccer_2160p_001_base_QP_40_G1_QP_40_G2_QP_40_res_960x540.mp4,25.5,1.9899,0.751,1
5,scoccer_2160p_003_base_QP_35_G1_QP_15_G2_QP_35_res_1920x1080.mp4,75.0,3.9899,1.6583,1
5,scoccer_2160p_003_base_QP_45_G1_QP_30_res_1920x1080.mp4,26.2344,2.0196,1.3836,1
